Column4,Column1,Column2,Column3
"THB20,619.70 to THB35,348.19","NEW LISTINGDell Inspiron 15.6"" 2-in-1 FHD Touch i5-8250U Backlit Keyboard Customized Laptop",https://www.ebay.com/itm/Dell-Inspiron-15-6-2-in-1-FHD-Touch-i5-8250U-Backlit-Keyboard-Customized-Laptop/283514712478?hash=item4202cb319e:m:mGfe80bKWBON7uRECvgfzuQ,
"THB2,331.38",,,Watch
"THB1,533.60",,,
"THB28,606.30 to THB37,056.74","New Lenovo Yoga 730 2in1 15.6"" FHD TouchScreen i7-8550U Customize Laptop Win 10",https://www.ebay.com/itm/New-Lenovo-Yoga-730-2in1-15-6-FHD-TouchScreen-i7-8550U-Customize-Laptop-Win-10/273809643958?hash=item3fc05399b6:m:mA1gTBmM1x0NZwPDfAwf2ng,
"THB6,572.25","CHUWI HeroBook 14.1"" Laptop Windows 10 Intel Quad Core Layout Keyboard Notebook",https://www.ebay.com/itm/CHUWI-HeroBook-14-1-Laptop-Windows-10-Intel-Quad-Core-Layout-Keyboard-Notebook/163609509365?hash=item2617e2fdf5:g:dPoAAOSwG1Nc3Pzp,Free International Shipping
"THB14,967.74 to THB19,585.45",Lenovo ThinkPad T450s Core i5 Business Laptop 12GB Memory 1TB SSD Windows 10 Pro,https://www.ebay.com/itm/Lenovo-ThinkPad-T450s-Core-i5-Business-Laptop-12GB-Memory-1TB-SSD-Windows-10-Pro/183646868417?hash=item2ac234d3c1:m:m8PaaCxHuQy5AN6fLljOHuw,6+ Watching
"THB2,786.55",NEW LISTINGDell Vostro 15 Laptop Computer with Windows 10 and Power Lead - Working,https://www.ebay.com/itm/Dell-Vostro-15-Laptop-Computer-with-Windows-10-and-Power-Lead-Working/323832618523?hash=item4b65ed9e1b:g:D-oAAOSwfV5dAREJ,Benefits charity
"THB20,343.65",NEW LISTINGLenovo ThinkPad A485 --- AMD Ryzen 5 2500U - 8GB Ram - 256GB SSD - Warranty 2022,https://www.ebay.com/itm/Lenovo-ThinkPad-A485-AMD-Ryzen-5-2500U-8GB-Ram-256GB-SSD-Warranty-2022/273887020720?epid=16030518445&hash=item3fc4f046b0:g:KOAAAOSwXvRc9z~a,Watch
"THB19,169.98","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 128GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-128GB-SSD-500GB-HDD/283514610502?hash=item4202c9a346:g:YEMAAOSwolRcp~5x,Watch
"THB19,169.98","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 128GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-128GB-SSD-1TB-HDD/283514610504?hash=item4202c9a348:g:YEMAAOSwolRcp~5x,Watch
"THB22,612.75","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 128GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-128GB-SSD-2TB-HDD/273886629290?hash=item3fc4ea4daa:g:YEMAAOSwolRcp~5x,Watch
"THB22,612.75","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 512GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-512GB-SSD/283514610603?hash=item4202c9a3ab:g:YEMAAOSwolRcp~5x,Watch
"THB18,857.00","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 256GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-256GB-SSD-500GB-HDD/273886629132?hash=item3fc4ea4d0c:g:YEMAAOSwolRcp~5x,Watch
"THB18,857.00","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 256GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-256GB-SSD/283514610598?hash=item4202c9a3a6:g:YEMAAOSwolRcp~5x,Watch
